AcCa
BisMePA
CL
Cer
CerG1
CerG2
CerP
Co
DG
DGMG
LPC
LPE
LPI
LPS
LdMePE
MG
MGDG
MGMG
PA
PAF
PEt
PG
PI
PMe
PS
SM
SQMG
So
ZyE
dMePE
