"","GC_E18_2","GC_E18_3","GC_E18_4","GC_E18_5","GC_E18_6","GC_P0_1","GC_P0_2","GC_P0_3","GC_P0_4","GC_P0_5","GC_P0_6","GC_P3_1","GC_P3_2","GC_P3_3","GC_P3_4","GC_P3_5","GC_P3_6","GC_P6_1","GC_P6_2","GC_P6_3","GC_P6_4","GC_P6_5","GC_P6_6","GC_P9_1","GC_P9_2","GC_P9_3","GC_P9_4","GC_P9_5","GC_P9_6"
"Label","E18","E18","E18","E18","E18","P0","P0","P0","P0","P0","P0","P3","P3","P3","P3","P3","P3","P6","P6","P6","P6","P6","P6","P9","P9","P9","P9","P9","P9"
"Rpl32","19.08209","19.24392","18.48909","20.07307","19.60254","18.44451","19.04958","17.49739","16.96361","19.83007","20.04871","21.76818","21.70348","22.04546","21.45749","21.13179","21.71159","19.27055","18.59186","19.50293","18.01139","17.91425","19.52241","19.49255","20.29038","19.98233","20.05499","18.78887","19.38255"
"Cpne6","14.56489","15.41528","15.49309","15.15226","15.76038","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","15.74664","15.89192","15.27911","14.50446","14.68750","14.88734","20.87114","20.01389","18.77134","19.18289","20.03051","19.20612"
"Mif","19.69402","19.28540","20.90483","21.34865","19.67490","20.61716","19.54138","18.59186","19.03913","17.07048","16.94984","20.57240","22.14105","21.75754","21.56904","21.35994","22.03731","17.69319","18.84679","18.80889","16.45484","17.22155","18.59569","18.48909","20.59288","19.66287","19.38671","18.96696","20.68183"
"Ube2l3","19.72207","18.94203","19.66287","18.97252","19.33641","19.78433","19.92121","19.56846","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","20.19800","19.92121","19.55690","19.68679","19.48915","19.53504","17.68484","19.82317","19.10213","19.11786","18.89321","16.29927"
"Wdr47","14.56489","15.41528","15.49309","15.15226","15.76038","18.01976","15.61702","17.99766","20.44212","17.07048","16.94984","19.74390","17.46424","17.44687","17.47046","17.45309","17.39907","15.93067","16.44696","16.41872","16.71560","16.70389","17.82091","13.11983","15.66163","16.50828","15.23540","16.45865","16.29927"
"Purb","19.502932","19.830073","20.228586","15.152258","15.760376","16.229362","20.054991","16.126067","21.148028","21.094997","21.680379","19.648042","19.343026","19.465397","17.470465","17.453089","19.294455","15.087000","14.103254","13.119830","17.357745"," 6.848008","17.357745","19.626101","18.327930","20.393861","16.949836","19.154043","18.956422"
"Prdx5","14.56489","17.33248","15.49309","15.15226","17.76747","18.78887","18.71508","18.28186","19.32958","19.12912","16.94984","17.46424","20.37478","20.32780","20.68744","19.85861","20.22086","18.78579","18.08018","19.00338","18.74408","19.01347","19.04958","20.28256","20.00493","18.78087","20.73568","16.45865","19.19446"
"Apex1","18.20107","18.62344","19.13844","19.43001","20.11454","19.64365","19.93856","18.53809","16.96361","17.07048","18.67487","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.57728","18.15624","18.05543","18.35559","18.12750","16.87241","13.11983","15.66163","16.50828","18.86029","16.45865","16.29927"
"Cbr1","18.43143","18.88967","19.31401","19.10773","19.69402","19.27992","20.38660","19.05296","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.15079","18.00096","17.15101","16.77769","17.04884","17.07558","17.38788","19.19446","18.71854","19.19446","19.01347","18.77510"
"Nrp1","18.86029","18.91124","17.62452","18.70909","18.32793","18.15624","18.72172","18.37337","16.96361","17.07048","18.71508","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.01435","17.85407","18.84679","18.66544","19.30826","19.17914","17.33248","17.32815","16.50828","15.23540","16.45865","16.29927"
"Snd1","17.83732","17.04290","18.64983","17.98447","18.02930","16.22936","17.24751","17.88258","16.96361","18.92675","16.94984","19.21093","17.46424","17.44687","17.47046","17.45309","19.07590","20.44212","20.53221","21.31524","20.16970","21.00853","17.87950","15.40766","18.48033","20.37002","17.22475","18.67038","19.15867"
"Pura","16.785832","15.415283","15.493092","16.492954","15.760376","16.229362","15.617022","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","13.315849","11.884977"," 6.848008"," 6.848008"," 6.848008"," 6.848008","19.787080","19.948312","17.816954","20.478985","17.732477","20.183576"
"Acsl3","18.99729","17.68484","18.80061","18.04794","17.49739","16.22936","16.96361","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.73683","17.04884","17.55421","14.95664","16.31701","16.54958","16.63983","15.66163","16.50828","16.95767","16.45865","16.29927"
"Arhgap35","17.25053","17.28895","15.49309","15.15226","15.76038","16.22936","15.61702","16.12607","16.96361","19.83411","20.63155","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.71644","17.74877","17.51163","19.70566","18.07676","17.40886","17.36269","15.66163","16.50828","15.23540","16.45865","16.29927"
"Cd200","22.00020","22.11457","21.58472","21.62792","21.95762","21.08568","21.76818","21.69790","20.65261","21.51332","21.95215","19.83411","19.30365","20.57833","20.55482","19.27055","20.55896","21.51332","21.54945","22.15594","21.68722","22.00020","21.54469","20.54261","20.45420","20.49576","20.71048","18.56263","19.29446"
"Mapre2","20.36633","20.97747","20.19800","20.54261","21.26213","16.22936","20.94028","20.19349","21.82088","21.26213","20.81648","20.45420","19.37401","20.58220","20.63155","20.44849","20.38660","18.94715","19.08475","19.35749","20.63155","19.61939","20.63155","21.56904","22.34014","21.60611","22.15594","22.18833","22.78663"
"Gstm5","18.50655","18.48909","18.55409","17.85407","17.80845","16.22936","18.07676","16.12607","21.51931","19.23894","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.52549","18.89321","17.90232","15.89192","17.90849","17.67975","19.09194","19.21804","20.04871","20.32780","16.45865","21.03201"
