"","GC_E18_2","GC_E18_3","GC_E18_4","GC_E18_5","GC_E18_6","GC_P0_1","GC_P0_2","GC_P0_3","GC_P0_4","GC_P0_5","GC_P0_6","GC_P3_1","GC_P3_2","GC_P3_3","GC_P3_4","GC_P3_5","GC_P3_6","GC_P6_1","GC_P6_2","GC_P6_3","GC_P6_4","GC_P6_5","GC_P6_6","GC_P9_1","GC_P9_2","GC_P9_3","GC_P9_4","GC_P9_5","GC_P9_6"
"Label","E18","E18","E18","E18","E18","P0","P0","P0","P0","P0","P0","P3","P3","P3","P3","P3","P3","P6","P6","P6","P6","P6","P6","P9","P9","P9","P9","P9","P9"
"Dync1h1","25.69179","25.69179","25.41426","25.91061","25.69179","24.93085","25.61572","24.86639","24.93085","24.74923","25.14815","24.63682","24.63682","24.50763","24.66387","24.66387","24.54995","25.37105","25.41426","25.47288","25.41426","25.37105","25.26410","24.86639","25.26410","24.81568","25.02561","24.86639","25.41426"
"Map1b","27.63049","27.63049","27.63049","27.63049","27.63049","27.63049","27.63049","27.63049","27.48561","27.63049","27.63049","26.90849","27.48561","26.61902","26.90849","27.29634","27.15976","27.29634","27.15976","27.29634","27.29634","27.29634","27.48561","25.14815","24.63682","24.70272","24.81568","23.94235","23.80862"
"Tuba1a","30.30277","30.30277","30.30277","30.30277","29.91289","30.30277","29.91289","30.30277","29.91289","29.91289","30.30277","29.91289","29.91289","29.91289","29.91289","29.91289","29.91289","30.30277","30.30277","30.30277","30.30277","30.30277","30.30277","29.91289","30.30277","30.30277","27.96384","30.30277","30.30277"
"Tubb2b","29.91289","29.91289","29.91289","29.91289","30.30277","29.91289","30.30277","29.91289","30.30277","30.30277","29.91289","30.30277","30.30277","30.30277","30.30277","30.30277","30.30277","29.91289","29.91289","29.91289","29.91289","29.91289","29.91289","28.31434","29.91289","29.91289","30.30277","29.91289","29.91289"
"Tubb2a","23.24972","23.50334","23.45905","23.58888","23.42883","23.44427","23.64399","23.80862","23.48110","23.32988","23.61678","22.76514","21.45749","21.64754","23.00513","22.44004","22.18833","23.44427","23.52969","23.36175","23.21334","23.52969","23.06784","23.73098","23.97166","24.50763","23.44427","24.38388","22.87087"
"Tuba1b","23.52969","23.69025","23.34424","22.99564","23.58888","23.61678","24.26586","22.99564","23.69025","23.75876","24.23919","23.50334","23.26437","22.87087","23.38328","22.63832","23.01886","21.86988","22.58822","22.81324","23.88555","22.99564","23.91029","24.42473","24.57441","25.02561","22.81324","24.66387","26.35113"
"Tuba1c","14.564894","15.415283","15.493092","15.152258","15.760376","16.229362","15.617022","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","16.440434","17.332483","16.317013","18.277751"," 6.848008","17.020780","13.119830","15.661630","16.508282","15.235399","16.458650","16.299267"
"Tubb5","26.72857","26.54609","26.19013","26.90849","26.46355","26.46355","27.15976","25.91061","26.90849","26.07432","27.29634","26.72857","26.61902","26.72857","26.72857","26.72857","26.46355","26.13475","26.13475","26.72857","26.00837","26.13475","26.07432","25.41426","25.61572","26.07432","26.00837","25.54147","26.19013"
"Tubb4b","23.84364","24.11541","23.79142","23.61678","24.19309","23.13485","24.54995","23.36175","22.99564","23.41118","24.42473","24.06793","23.69025","23.79142","23.84364","23.44427","23.71670","24.81568","24.66387","24.81568","24.63682","24.66387","24.45292","24.74923","25.54147","26.19013","25.61572","24.34979","23.52969"
"Cltc","24.54995","24.34979","24.54995","24.97288","24.54995","24.23919","24.97288","24.63682","25.22324","24.86639","24.97288","22.83681","23.00513","23.18063","23.44427","23.36175","22.94509","25.22324","25.22324","25.54147","25.47288","25.26410","25.47288","26.07432","26.35113","26.54609","26.61902","26.54609","26.46355"
"Map2","25.14815","25.02561","24.97288","24.74923","24.81568","24.97288","24.81568","25.09717","25.02561","24.60664","24.60664","24.74923","24.50763","24.38388","24.45292","24.48560","24.60664","25.41426","25.54147","25.14815","25.22324","25.41426","25.14815","24.78624","23.94235","24.06793","24.00718","24.11541","23.28264"
"Atp1a3","26.13475","26.13475","26.13475","26.13475","26.00837","26.54609","26.46355","26.46355","26.54609","26.00837","26.46355","26.13475","25.91061","26.07432","26.13475","25.61572","26.13475","26.61902","26.61902","26.54609","26.72857","26.72857","26.72857","27.48561","27.48561","27.48561","27.48561","27.48561","26.72857"
"Tubb3","26.54609","26.90849","26.72857","26.61902","26.90849","26.90849","27.29634","26.90849","27.15976","27.29634","27.15976","27.96384","27.63049","27.96384","27.96384","27.96384","27.48561","25.61572","25.47288","25.61572","25.91061","25.81626","26.00837","24.60664","25.74516","25.91061","25.14815","26.28789","26.00837"
"Tubb4a","21.89741","22.39282","22.08514","23.14783","22.32727","23.31487","22.48292","22.60278","22.11457","22.03731","20.58704","22.92114","23.34424","24.54995","22.46732","24.06793","23.36175","21.88020","21.61410","21.80482","21.14803","22.07521","21.59757","23.56942","23.58888","23.97166","23.64399","24.00718","23.66273"
"Dpysl2","27.48561","27.48561","27.48561","27.29634","27.29634","27.29634","27.48561","27.15976","27.29634","27.48561","27.48561","27.63049","27.15976","27.63049","27.48561","27.63049","27.63049","27.48561","27.63049","27.96384","27.63049","27.96384","28.31434","26.90849","26.90849","27.15976","27.15976","26.90849","27.15976"
"Dpysl3","26.28789","26.28789","26.28789","26.07432","26.35113","26.00837","26.90849","26.00837","26.13475","26.28789","26.54609","27.15976","26.90849","27.48561","27.15976","26.90849","27.29634","26.19013","26.35113","25.91061","26.13475","26.35113","26.19013","25.69179","26.19013","26.00837","26.28789","25.91061","25.47288"
"Ncam1","27.96384","27.96384","27.96384","27.96384","27.96384","27.96384","27.96384","27.96384","27.63049","27.96384","27.96384","27.29634","27.29634","26.90849","27.29634","27.15976","26.90849","27.15976","27.29634","27.48561","27.15976","27.48561","27.15976","25.54147","25.41426","25.41426","25.69179","25.37105","24.78624"
"Actb","24.19309","24.23919","24.23919","23.44427","24.06793","23.42883","23.14783","23.29628","22.21308","22.90556","22.79950","25.14815","24.93085","25.02561","25.22324","24.70272","25.22324","24.06793","23.61678","23.32988","23.64399","23.80862","23.45905","21.31524","22.22069","22.26593","21.47962","22.11457","21.75754"
"Actg1","28.31434","28.31434","28.31434","28.31434","28.31434","28.31434","28.31434","28.31434","28.31434","28.31434","28.31434","28.31434","28.31434","28.31434","28.31434","28.31434","28.31434","27.96384","27.96384","28.31434","28.31434","28.31434","27.96384","27.29634","27.15976","27.29634","26.90849","27.15976","27.29634"
"Sptan1","22.42061","22.45747","22.32727","21.77747","22.07044","23.32988","23.79142","23.69025","24.11541","23.50334","23.36175","21.67073","21.63448","22.12459","22.30250","21.47962","22.07044","22.89579","23.10442","23.14783","23.13485","23.14783","23.10442","24.11541","23.66273","23.79142","23.73098","23.84364","23.79142"
"Tuba4a","14.56489","15.41528","15.49309","16.74344","15.76038","16.22936","17.93407","18.14676","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.83732","17.31758","17.43896","17.91982","17.04290","16.73529","21.45749","20.99555","22.16226","21.94522","23.45905","20.95697"
"Vcp","23.94235","23.84364","23.97166","24.48560","24.26586","23.28264","24.06793","23.56942","23.28264","23.20028","22.78663","24.19309","24.74923","24.66387","23.80862","25.02561","24.50763","24.19309","24.26586","24.19309","24.19309","24.30285","23.97166","23.97166","23.54756","24.30285","24.42473","23.10442","22.68458"
"Uba1","24.66387","24.74923","24.63682","24.34979","24.93085","24.78624","24.63682","24.23919","23.80862","24.48560","24.26586","23.13485","22.94509","22.63832","22.89579","22.97600","22.63832","24.42473","24.48560","24.54995","24.45292","24.50763","24.57441","23.80862","23.91029","23.91029","23.54756","23.80862","23.41118"
"Fasn","23.42883","23.28264","23.32988","23.34424","23.54756","23.11948","22.85531","22.83681","23.39383","23.52969","23.44427","21.21292","21.81556","20.87114","22.04546","21.64754","21.17670","23.39383","23.42883","23.84364","23.41118","23.48110","23.64399","22.79950","23.04418","23.16576","23.13485","22.95782","24.23919"
"Crmp1","25.09717","25.26410","25.14815","24.93085","25.22324","25.02561","25.41426","24.74923","24.66387","25.02561","25.41426","25.02561","25.69179","25.37105","25.37105","25.26410","25.74516","25.47288","25.37105","25.41426","25.54147","25.47288","25.41426","24.54995","24.81568","25.54147","24.78624","24.81568","24.34979"
"Rtn4","24.50763","24.57441","24.38388","24.23919","24.34979","23.88555","24.30285","23.88555","22.67317","23.91029","24.11541","24.57441","24.30285","24.74923","24.78624","24.11541","24.81568","24.11541","23.94235","23.66273","23.91029","24.00718","23.80862","23.21334","23.23796","22.97600","23.14783","23.32988","22.44780"
"Hspa8","26.46355","26.35113","26.35113","26.35113","26.54609","26.13475","26.61902","26.13475","26.07432","25.91061","26.07432","26.07432","26.28789","25.81626","26.19013","26.46355","26.28789","26.90849","26.72857","26.35113","26.54609","26.54609","26.61902","26.54609","26.46355","26.72857","26.72857","26.35113","25.91061"
"Gapdh","27.15976","27.15976","27.15976","27.48561","27.48561","26.28789","26.72857","26.54609","26.19013","26.54609","26.13475","25.91061","25.81626","26.13475","26.07432","26.28789","25.81626","26.28789","26.19013","26.46355","26.28789","26.46355","26.54609","27.15976","27.63049","27.63049","27.63049","27.63049","27.96384"
"Eef1a1","25.54147","25.74516","25.54147","25.74516","26.07432","25.41426","26.00837","24.66387","25.69179","26.13475","26.00837","25.61572","26.13475","26.28789","26.35113","26.13475","26.00837","25.91061","25.81626","26.28789","25.69179","25.61572","25.69179","24.97288","24.74923","25.47288","25.22324","24.60664","25.37105"
"Gnao1","26.19013","26.46355","26.90849","26.46355","27.15976","26.61902","26.54609","26.35113","26.72857","26.72857","26.72857","26.28789","26.00837","26.35113","26.00837","26.07432","25.61572","26.00837","26.07432","26.13475","26.61902","26.28789","26.46355","26.13475","26.28789","26.13475","26.35113","26.19013","26.07432"
"Sptbn1","22.36222","22.51319","22.61579","22.74305","21.58472","23.24972","23.23796","23.52969","23.64399","23.45905","23.79142","21.03878","20.04223","19.66818","20.01389","21.39569","20.93345","23.48110","23.44427","23.52969","23.94235","23.94235","24.00718","23.50334","23.14783","22.34014","22.93515","22.44004","22.95782"
"Hsp90ab1","24.97288","25.14815","25.09717","25.54147","25.37105","24.86639","24.57441","24.78624","24.70272","24.97288","25.09717","22.79950","22.60278","22.62777","22.64942","23.38328","23.18063","24.48560","24.50763","24.66387","24.70272","24.48560","24.86639","23.75876","24.30285","24.38388","23.91029","23.66273","24.30285"
"Atp1a1","22.77494","22.85531","22.44780","22.76514","22.87087","22.70659","22.71628","22.30250","21.86988","21.77747","21.88020","21.02646","21.53985","20.56552","19.78433","20.74995","21.38114","22.76514","22.70659","22.65957","22.12459","22.53462","22.27738","24.00718","24.19309","24.57441","24.57441","24.06793","22.94509"
"Alb","24.70272","24.97288","24.93085","24.57441","25.26410","25.37105","25.69179","25.74516","26.28789","26.61902","26.90849","22.85531","23.21334","22.43105","22.79950","22.64942","22.65957","24.63682","24.57441","24.63682","24.57441","24.57441","24.60664","22.85531","22.76514","23.52969","22.75162","23.73098","24.63682"
"Eef2","24.42473","24.48560","24.48560","24.45292","24.57441","24.45292","24.48560","24.48560","24.63682","23.79142","24.38388","25.69179","25.47288","25.61572","25.91061","25.54147","25.54147","24.54995","24.86639","24.93085","24.86639","24.86639","24.93085","23.91029","23.84364","23.75876","23.94235","23.26437","23.94235"
"Gdi1","24.30285","24.42473","24.57441","24.26586","24.42473","24.00718","24.45292","23.54756","23.97166","24.34979","24.66387","24.70272","24.86639","25.26410","24.86639","24.86639","24.93085","24.50763","24.54995","24.57441","24.60664","24.54995","24.63682","24.81568","25.09717","24.93085","24.74923","24.70272","25.74516"
"Hsp90aa1","26.00837","26.07432","26.07432","25.69179","25.91061","25.81626","25.74516","25.69179","25.47288","25.47288","25.91061","24.11541","23.80862","24.26586","23.94235","24.42473","24.42473","26.35113","26.28789","26.07432","26.46355","26.07432","26.35113","25.47288","24.97288","24.60664","25.37105","25.02561","24.86639"
"Myh10","20.88217","20.05993","20.50517","20.81648","20.51988","22.61579","21.30598","22.24687","21.89741","21.96829","21.13179","19.91235","19.78433","19.71599","17.47046","19.56846","19.08209","22.56226","22.53462","21.94522","22.01899","21.75197","22.31418","21.51931","20.78593","20.89822","20.32309","20.88217","21.89741"
"Basp1","27.29634","27.29634","27.29634","26.54609","26.72857","27.48561","26.13475","27.48561","26.35113","26.35113","26.19013","26.46355","26.35113","26.19013","26.61902","26.35113","26.07432","28.31434","28.31434","27.63049","27.96384","27.63049","27.63049","26.61902","25.69179","20.85824","24.60664","25.81626","24.48560"
"Stxbp1","24.26586","24.54995","24.42473","24.38388","24.60664","24.50763","24.60664","24.11541","24.74923","24.66387","25.26410","23.54756","24.00718","23.84364","23.79142","24.26586","23.66273","24.30285","24.45292","24.60664","24.30285","24.38388","24.19309","24.93085","24.93085","25.22324","25.09717","25.69179","26.13475"
"Atp1a2","20.32309","18.94715","19.84557","19.06779","20.39386","20.49576","20.25385","19.83411","18.77768","18.67961","18.55686","17.46424","17.46424","17.44687","19.44911","17.45309","19.23894","21.96829","21.91073","22.60278","21.84371","21.80482","21.75197","21.32809","19.94403","21.53985","20.37478","19.67812","18.77768"
"Lrp1","21.02111","21.18138","20.97747","20.23766","21.49039","20.22859","21.91073","21.47962","21.81556","22.17499","21.24359","20.90483","20.31361","19.84037","19.27701","17.45309","20.25385","21.09500","21.41515","21.01657","21.27672","21.04994","21.18769","19.89112","20.12624","19.78708","21.16617","19.98552","20.78593"
"Gap43","26.35113","26.19013","26.54609","26.00837","26.13475","27.15976","26.19013","27.29634","26.00837","26.90849","26.28789","26.54609","26.54609","26.46355","26.46355","25.81626","26.35113","27.63049","27.48561","27.15976","27.48561","27.15976","27.29634","26.28789","24.54995","21.86021","23.71670","24.97288","24.06793"
"Dpysl5","24.11541","23.88555","23.88555","24.06793","23.94235","23.97166","24.23919","23.84364","23.91029","23.71670","23.84364","23.14783","22.95782","23.32988","23.01886","22.76514","23.14783","24.66387","24.63682","24.48560","24.48560","24.45292","24.48560","23.64399","23.73098","23.84364","24.54995","23.97166","24.45292"
"Ckb","25.61572","25.61572","25.74516","25.37105","25.54147","25.61572","25.26410","25.14815","25.14815","25.26410","25.02561","24.26586","23.56942","24.00718","24.00718","23.97166","23.64399","25.02561","24.97288","24.86639","25.09717","25.14815","25.22324","26.35113","26.61902","26.46355","26.54609","26.61902","26.54609"
"Pkm","24.74923","24.38388","24.70272","24.70272","24.70272","24.74923","24.50763","24.42473","24.42473","24.42473","24.54995","24.45292","23.84364","23.80862","24.23919","24.50763","24.66387","25.26410","25.14815","25.37105","25.14815","25.22324","25.02561","25.26410","25.22324","24.78624","25.54147","25.26410","25.14815"
"Gnb1","26.61902","26.61902","26.46355","26.72857","26.61902","26.07432","26.28789","25.61572","25.91061","25.69179","26.35113","25.37105","25.22324","24.86639","25.41426","25.22324","25.69179","25.54147","25.61572","25.81626","25.74516","25.74516","25.61572","25.37105","25.91061","26.28789","25.81626","26.07432","25.54147"
"Atp6v1b2","22.57611","22.68458","22.48292","22.17499","22.06233","22.00020","22.32727","21.95215","21.88752","21.66337","22.19673","22.35109","22.87087","22.30250","22.51319","22.28634","22.37933","23.21334","23.38328","23.61678","23.50334","23.42883","23.48110","24.34979","24.26586","24.54995","24.23919","23.91029","24.70272"
"Marcks","25.81626","25.91061","25.81626","25.09717","25.47288","25.69179","24.93085","25.54147","25.09717","24.93085","24.81568","24.50763","25.02561","25.09717","25.26410","24.81568","24.26586","26.72857","26.46355","26.19013","26.07432","26.19013","26.13475","24.50763","22.77494","21.33497","22.90556","23.01886","22.46732"
"Aldoa","24.93085","24.93085","24.86639","24.66387","24.48560","24.11541","24.42473","24.38388","24.30285","23.94235","24.45292","24.86639","24.78624","24.78624","24.93085","24.78624","25.14815","24.74923","24.81568","24.70272","24.81568","24.78624","24.66387","25.91061","26.07432","25.81626","25.47288","26.00837","25.02561"
"Tcp1","23.32988","23.34424","23.36175","23.54756","23.69025","21.95762","23.13485","22.39282","22.27738","22.61579","22.09833","22.46732","22.67317","22.44780","22.58822","23.29628","22.67317","22.92114","22.76514","22.48292","22.95782","22.85531","22.78663","21.18138","21.34865","20.98120","21.53365","21.02646","21.24359"
"Cnp","22.08514","22.17499","22.15594","21.51931","22.22069","20.04871","21.54469","20.88933","22.49364","23.10442","22.93515","22.08514","21.86988","22.54699","22.15594","21.74633","21.89741","22.27738","22.28634","22.10554","22.40693","22.49364","21.93380","27.63049","27.29634","26.90849","27.29634","27.29634","27.48561"
"Nsf","23.11948","22.63832","23.06784","23.29628","22.90556","23.58888","22.76514","23.34424","23.18063","22.53462","22.50433","20.86550","20.84687","20.77237","21.83766","21.18138","20.69536","23.64399","23.75876","23.44427","23.44427","23.66273","23.42883","24.23919","24.50763","23.73098","24.38388","24.19309","24.81568"
"Atp6v1a","23.00513","23.10442","22.99564","22.67317","22.93515","22.36222","23.11948","22.62777","22.68458","22.87087","22.24687","23.66273","24.38388","24.11541","23.56942","23.71670","24.00718","23.36175","23.36175","23.73098","23.52969","23.39383","23.21334","24.45292","24.34979","24.66387","24.11541","24.45292","23.88555"
"Cct2","24.78624","24.50763","24.74923","24.19309","25.02561","22.77494","24.66387","23.13485","23.36175","23.64399","23.88555","23.18063","22.43105","22.50433","23.23796","23.75876","22.87087","23.54756","23.32988","23.91029","23.23796","23.54756","23.32988","22.87087","22.00020","22.95782","22.03731","22.06233","22.97600"
"EG433182","24.60664","24.45292","24.50763","24.60664","24.63682","24.70272","24.70272","24.81568","24.78624","24.81568","25.61572","26.19013","26.19013","25.91061","26.28789","26.19013","26.54609","24.38388","24.38388","24.06793","24.38388","24.19309","24.50763","25.09717","24.66387","25.69179","24.97288","25.09717","24.54995"
"Cntn1","22.45747","22.60278","22.58822","21.03201","21.68722","23.01886","23.84364","23.31487","23.73098","23.69025","24.74923","23.08408","22.71628","23.13485","23.28264","23.10442","22.85531","23.28264","23.18063","23.42883","23.14783","23.23796","22.67317","23.94235","24.00718","24.48560","23.52969","23.50334","23.44427"
"Ywhaz","26.90849","26.72857","26.61902","26.28789","26.28789","26.72857","26.35113","26.61902","26.46355","27.15976","26.61902","25.09717","25.41426","24.97288","25.47288","25.47288","25.26410","26.54609","26.90849","26.90849","26.90849","26.61902","26.90849","26.72857","26.72857","26.35113","26.46355","26.72857","26.90849"
"Ywhae","25.47288","25.47288","25.37105","25.41426","24.86639","25.74516","25.09717","25.41426","25.54147","25.74516","24.93085","24.93085","24.60664","24.42473","24.97288","24.74923","24.74923","26.07432","26.00837","25.69179","26.35113","25.91061","26.28789","25.61572","24.86639","24.42473","25.26410","25.41426","24.57441"
"Dnm1","22.29354","22.48292","22.27738","21.59757","22.52657","21.72312","22.17499","21.72312","22.16226","22.23269","22.44004","21.39569","21.51931","21.51931","21.25297","21.77747","20.80481","23.16576","22.92114","23.23796","22.56226","22.97600","22.83681","24.26586","24.11541","23.42883","24.19309","24.57441","24.66387"
"Calm1","24.63682","24.63682","25.02561","24.42473","24.30285","25.22324","24.86639","25.26410","25.41426","26.46355","25.74516","27.48561","27.96384","27.15976","27.63049","27.48561","27.96384","24.78624","25.09717","24.97288","25.37105","25.02561","25.09717","26.19013","26.00837","25.74516","25.41426","25.61572","24.97288"
"Psmd2","21.60611","21.42679","21.32809","22.28634","21.92660","20.35308","21.01657","20.28256","21.12263","20.09362","19.87015","22.24687","22.62777","22.34014","22.29354","22.19673","21.28949","21.47962","21.72312","21.66337","21.53985","21.31524","21.39569","20.14354","20.63760","20.64874","20.85441","21.07166","21.10173"
"Gdi2","22.78663","22.62777","22.94509","21.85199","22.51319","22.12459","23.28264","22.43105","22.37173","22.50433","22.48292","21.51931","22.03731","22.36222","22.01899","20.93345","21.12263","22.60278","22.67317","23.03101","22.70659","22.44004","22.57611","22.46732","22.20564","23.01886","22.61579","22.32727","23.73098"
"Hnrnpu","22.51319","22.54699","21.62792","21.88020","23.03101","22.40693","22.00020","21.96829","22.65957","22.51319","23.31487","26.61902","26.72857","27.29634","26.54609","26.54609","26.61902","21.68722","21.96829","22.21308","22.16226","22.19673","22.60278","22.74305","22.61579","22.35109","23.10442","23.24972","23.03101"
"Cct8","23.56942","23.64399","23.80862","23.38328","23.84364","22.89579","23.34424","22.50433","22.07044","22.62777","22.58822","22.43105","21.13570","22.83681","22.62777","22.31418","22.90556","23.32988","23.26437","23.21334","22.81324","23.10442","22.54699","21.83766","20.89822","21.47228","21.38600","20.72878","22.07044"
"Tnc","21.72312","21.42009","21.56197","21.33497","20.98786","21.45160","20.07307","20.85441","19.73860","17.07048","20.97205","21.25297","21.03878","20.20846","20.54261","21.91073","20.12624","20.74995","21.07166","20.65909","20.84687","20.27791","20.66773","19.96870","18.88364","17.91982","18.73845","19.08802","18.97553"
"Gnb2","25.02561","24.81568","24.66387","25.47288","25.14815","25.14815","24.78624","24.34979","24.54995","24.57441","24.63682","21.68722","21.52652","20.62208","21.00421","21.68722","21.62792","24.34979","24.42473","24.42473","24.54995","24.42473","24.34979","24.30285","24.60664","24.63682","24.06793","24.78624","25.69179"
"Dclk1","23.10442","23.11948","23.00513","22.95782","23.21334","23.34424","23.45905","23.21334","22.97600","22.76514","22.44780","21.66337","21.47962","21.86988","21.67073","20.96765","21.07721","23.94235","24.00718","23.80862","23.71670","23.71670","23.71670","21.69790","21.32202","21.00853","22.07044","21.55624","21.28949"
"Atp2b2","21.93380","21.86988","21.37194","21.45160","20.82518","22.30250","21.50412","22.10554","19.96870","19.25783","20.09362","19.94831","20.18880","20.41178","19.33948","19.65677","19.93856","22.28634","22.51319","22.34014","23.11948","22.36222","22.72633","23.24972","22.16226","21.01657","22.09833","21.93380","22.60278"
"Cct7","24.00718","24.00718","23.94235","23.48110","24.23919","23.23796","23.32988","23.18063","23.08408","23.11948","23.42883","23.34424","22.49364","22.70659","23.50334","23.32988","23.45905","23.04418","22.90556","22.95782","23.10442","23.26437","23.31487","22.09833","22.35109","22.77494","22.65957","22.05427","22.09833"
"Uchl1","24.34979","24.78624","24.45292","25.61572","24.50763","25.09717","25.22324","25.22324","25.61572","25.37105","25.37105","24.34979","24.66387","24.45292","23.75876","25.14815","24.57441","25.09717","25.02561","25.26410","24.93085","24.93085","24.97288","24.48560","24.70272","24.45292","24.86639","24.30285","24.42473"
"Macf1","18.59954","18.69644","19.08209","18.33303","19.20034","20.19800","19.99684","20.87114","19.89634","20.12624","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","20.96765","20.50979","20.45420","20.31361","20.03438","19.57395","18.64565","18.89321","16.50828","17.71644","17.83218","17.54815"
"Atp5f1b","21.79893","21.95762","21.56904","20.92841","20.60576","22.97600","23.01886","22.46732","22.60278","22.77494","23.06784","20.20846","19.80605","19.69402","20.40094","20.55896","20.26067","21.26213","21.27672","21.74633","21.70348","21.41515","22.05427","23.06784","23.01886","23.66273","22.79950","23.23796","23.11948"
"Map4","23.41118","23.29628","23.16576","23.06784","23.38328","23.41118","22.90556","23.39383","22.54699","22.52657","22.53462","21.83092","22.42061","22.77494","22.48292","22.12459","22.30250","23.03101","23.14783","22.90556","23.20028","23.16576","22.89579","22.44004","22.99564","20.19349","21.50412","21.08568","20.55896"
"Ap2b1","22.20564","22.30250","21.98092","22.32727","22.34014","22.31418","22.57611","22.34014","21.56197","21.38114","21.58472","20.87114","20.50979","20.81648","20.92297","21.02646","20.97747","21.93380","22.06233","22.37173","22.06233","22.51319","22.43105","22.68458","23.88555","23.11948","23.36175","23.11948","23.69025"
"Ywhag","25.41426","25.37105","25.26410","24.86639","24.66387","25.91061","25.37105","25.47288","25.81626","25.81626","25.22324","23.42883","23.94235","23.97166","24.48560","23.73098","24.30285","25.74516","25.91061","26.00837","25.61572","25.69179","25.54147","26.00837","25.81626","24.74923","26.07432","25.74516","25.81626"
"Sirt2","18.62344","18.68302","17.25409","18.08671","19.22235","18.81966","17.60980","17.69319","19.35749","19.35749","20.53809","19.60254","20.44212","20.30188","19.61939","19.33641","20.61716","19.41212","19.35749","19.97666","19.73860","16.91477","18.80384","26.46355","26.54609","26.61902","26.19013","26.46355","26.28789"
"Atp2b1","21.52652","21.67073","21.59757","21.65434","21.75197","22.51319","21.47228","22.20564","21.10173","19.55145","19.87269","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","22.53462","22.05427","21.95762","22.11457","22.42061","22.37933","21.49039","21.69790","20.78593","20.50979","21.37194","20.84149"
"Map1a","18.95016","19.17460","18.70058","18.62767","18.19580","19.09767","19.75059","19.73860","18.68694","19.78433","19.29896","19.44911","17.46424","17.44687","17.47046","17.45309","19.51061","21.03201","20.41952","20.58220","20.86071","20.44212","20.82518","22.81324","22.07521","21.86988","22.14105","21.42679","20.67281"
"L1cam","21.85199","22.70659","22.18833","22.09833","22.62777","23.08408","23.39383","23.26437","22.79950","22.44004","23.52969","20.30803","20.66773","20.16527","20.94028","20.74182","20.82518","21.95215","21.88020","21.22057","21.59029","21.56904","21.67073","19.63692","19.63079","19.45601","20.02441","19.15867","20.27355"
"Mapt","25.22324","24.66387","24.81568","24.63682","25.09717","25.47288","25.02561","25.37105","24.86639","24.70272","24.78624","24.81568","24.45292","24.93085","24.70272","24.60664","24.97288","25.81626","25.69179","25.22324","25.26410","25.54147","25.37105","24.66387","23.64399","23.56942","24.63682","23.56942","23.08408"
"Rack1","22.70659","22.53462","22.70659","23.21334","23.14783","21.92660","22.67317","21.62792","21.65434","21.92660","21.07721","23.01886","23.11948","23.29628","23.45905","23.06784","23.39383","22.20564","22.79950","22.51319","22.50433","22.77494","22.77494","22.58822","23.11948","22.89579","22.99564","22.36222","22.43105"
"Fscn1","23.03101","23.20028","23.11948","22.78663","22.83681","23.10442","23.38328","23.14783","23.00513","22.81324","23.16576","21.95762","22.21308","22.37173","22.43105","22.37933","22.31418","23.01886","23.03101","22.99564","23.00513","23.04418","22.68458","23.36175","23.26437","23.41118","23.18063","23.03101","22.45747"
"Ywhab","23.61678","23.39383","23.48110","23.69025","23.01886","23.79142","22.92114","23.38328","23.04418","23.84364","23.66273","21.53985","20.97205","20.91788","21.26213","21.88752","21.24909","24.60664","24.78624","24.78624","24.66387","24.70272","24.30285","24.38388","23.79142","23.71670","23.69025","24.23919","23.56942"
"Psmd1","22.85531","22.77494","22.71628","22.65957","22.60278","20.83714","22.40693","20.18358","21.62792","21.88752","22.12459","22.45747","22.37173","21.55624","22.19673","22.36222","22.02631","22.01899","21.56197","21.41515","21.42009","21.22057","21.76818","21.88752","21.02111","21.65434","22.57611","21.53985","21.23385"
"Eprs","21.57602","21.15554","21.26213","20.38990","21.79070","17.72286","20.54805","18.35559","21.63448","21.24909","22.31418","20.75624","20.99555","21.22602","21.31524","21.03878","21.06029","19.29446","20.05993","19.99079","20.02045","20.23766","19.64365","20.85441","21.49039","20.34540","20.64333","21.91073","22.02631"
"Actbl2","19.41212","18.67487","18.98146","20.87114","19.38255","17.88633","17.56073","19.07590","16.96361","18.90046","20.26775","19.49255","17.46424","19.63351","17.47046","17.45309","17.39907","13.61023","15.05490","14.31439","15.74664","17.20899","15.57551","16.24347","17.96409","18.23041","17.04290","18.07676","18.44451"
"Eef1g","22.99564","23.06784","23.28264","23.20028","23.48110","22.99564","22.83681","22.79950","23.44427","23.34424","23.32988","21.93380","20.96286","21.75197","21.96829","21.98092","22.17499","21.65434","21.91814","22.04546","21.94522","22.05427","22.21308","21.58472","22.23269","22.40693","21.72312","23.06784","22.52657"
"Cct4","23.75876","23.58888","23.73098","23.79142","23.61678","22.90556","22.99564","22.94509","22.24687","22.49364","22.64942","22.68458","22.12459","21.59029","21.88752","22.48292","22.09833","23.61678","23.69025","23.26437","23.38328","23.58888","23.58888","22.30250","22.14105","21.51931","21.98092","19.44911","20.35593"
