AcCa
BisMePA
CL
Cer
CerG1
CerP
ChE
Co
DG
DGMG
LPC
LPE
LPEt
LPI
LPS
LdMePE
MG
MGDG
MGMG
PA
PAF
PC
PE
PEt
PG
PI
PMe
PS
SM
SQDG
SQMG
ST
So
TG
ZyE
dMePE
