,MainAreac,MainAreas1,MainAreas2,MainAreas3,MainAreas4,MainAreas5,MainAreas6,MainAreas7,MainAreas8,MainAreas9,MainAreas10,MainAreas11,MainAreas12,MainAreas13,MainAreas14,MainAreas15,MainAreas16,MainAreas17,MainAreas18,MainAreas19,MainAreas20,MainAreas21,MainAreas22,MainAreas23,MainAreas24,MainAreas25,MainAreas26,MainAreas27,MainAreas28,MainAreas29
Label,E18,E18,E18,E18,E18,E18,P0,P0,P0,P0,P0,P0,P3,P3,P3,P3,P3,P3,P6,P6,P6,P6,P6,P6,P9,P9,P9,P9,P9,P9
PA,26.43168088,26.16110907,25.55897136,26.43168088,25.55897136,26.16110907,26.75865083,27.8897105,27.01659709,27.01659709,27.01659709,27.01659709,27.01659709,27.21131794,27.01659709,27.53192203,27.21131794,27.21131794,27.01659709,26.75865083,27.01659709,27.01659709,26.43168088,26.75865083,26.43168088,26.75865083,26.43168088,27.53192203,26.75865083,26.16110907
PAF,23.51543996,26.43168088,26.43168088,26.16110907,25.88045086,25.88045086,26.16110907,26.16110907,25.88045086,26.43168088,26.16110907,25.88045086,25.55897136,25.55897136,25.88045086,25.00498201,25.00498201,25.88045086,26.43168088,25.55897136,25.55897136,25.55897136,25.55897136,25.00498201,25.88045086,26.16110907,27.21131794,26.16110907,27.01659709,27.01659709
PC,37.73961215,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792,40.52743792
PE,32.79811832,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215,37.73961215
PEt,35.09318358,31.97460864,31.97460864,32.79811832,32.79811832,32.79811832,33.17510215,33.17510215,33.17510215,33.17510215,33.17510215,33.17510215,33.17510215,32.31338235,33.17510215,32.79811832,31.97460864,32.79811832,31.97460864,31.97460864,31.97460864,31.62156285,31.97460864,31.97460864,31.24199917,31.04033746,30.5662343,30.5662343,30.5662343,30.5662343
PG,25.00498201,28.62290016,27.3813095,27.21131794,27.8897105,27.3813095,27.21131794,27.21131794,28.62290016,27.53192203,27.53192203,27.53192203,29.92826724,29.54279646,29.54279646,29.92826724,29.54279646,29.54279646,29.92826724,29.92826724,29.92826724,29.92826724,29.54279646,29.92826724,29.54279646,29.54279646,29.16155822,29.16155822,29.54279646,29.16155822
PI,28.62290016,32.79811832,32.79811832,32.31338235,32.31338235,32.31338235,31.04033746,31.04033746,31.24199917,31.04033746,31.04033746,31.04033746,31.97460864,32.79811832,32.31338235,31.97460864,32.79811832,31.97460864,32.79811832,33.17510215,33.17510215,33.17510215,32.79811832,32.79811832,32.31338235,32.31338235,32.31338235,31.97460864,32.31338235,31.97460864
PMe,34.33705938,31.04033746,31.24199917,31.97460864,31.62156285,31.97460864,31.97460864,32.31338235,31.97460864,31.97460864,31.97460864,32.31338235,31.62156285,31.62156285,31.97460864,31.62156285,31.62156285,31.62156285,31.24199917,31.04033746,31.04033746,31.04033746,31.62156285,31.24199917,29.92826724,29.92826724,29.92826724,29.92826724,29.92826724,29.92826724
PS,32.31338235,36.02918512,36.02918512,35.09318358,35.09318358,35.09318358,36.02918512,35.09318358,36.26579109,36.02918512,36.26579109,36.02918512,36.02918512,36.02918512,36.02918512,36.26579109,36.02918512,36.02918512,36.02918512,36.02918512,36.02918512,36.02918512,36.02918512,36.02918512,36.02918512,36.02918512,36.02918512,36.02918512,36.02918512,36.02918512
SM,31.62156285,34.33705938,34.33705938,34.33705938,34.33705938,34.33705938,34.33705938,34.33705938,34.33705938,34.33705938,34.33705938,34.33705938,35.09318358,34.71034129,34.71034129,34.71034129,34.33705938,34.33705938,35.09318358,35.09318358,35.09318358,35.09318358,35.09318358,35.09318358,35.09318358,35.09318358,35.09318358,35.09318358,35.09318358,35.09318358
SQDG,31.04033746,27.53192203,27.53192203,28.62290016,28.62290016,28.62290016,28.62290016,28.62290016,27.21131794,28.62290016,29.16155822,28.62290016,28.62290016,29.16155822,28.62290016,29.16155822,29.16155822,28.62290016,29.16155822,29.16155822,28.62290016,29.54279646,28.62290016,29.16155822,27.3813095,27.01659709,27.01659709,27.01659709,27.3813095,27.8897105
SQMG,26.16110907,22.05039633,23.51543996,23.51543996,22.05039633,23.51543996,23.51543996,22.80823953,22.80823953,22.05039633,23.51543996,22.05039633,21.0293979,22.80823953,21.0293979,22.05039633,21.0293979,21.0293979,21.0293979,21.0293979,21.0293979,21.0293979,21.0293979,21.0293979,22.05039633,22.05039633,22.05039633,24.00366542,22.80823953,23.51543996
ST,22.80823953,24.56614747,24.56614747,25.00498201,25.00498201,24.00366542,24.56614747,25.55897136,25.00498201,25.55897136,25.00498201,25.55897136,27.53192203,27.8897105,27.8897105,27.01659709,27.8897105,27.01659709,27.53192203,27.8897105,27.8897105,27.53192203,29.16155822,27.8897105,27.01659709,27.21131794,25.88045086,26.43168088,26.16110907,26.43168088
So,27.8897105,26.75865083,26.75865083,26.75865083,26.43168088,26.43168088,25.88045086,25.88045086,26.16110907,26.16110907,26.43168088,26.43168088,25.00498201,25.00498201,25.00498201,25.55897136,25.88045086,25.55897136,25.00498201,25.00498201,25.00498201,25.00498201,25.00498201,25.55897136,25.00498201,25.00498201,24.56614747,24.56614747,23.51543996,24.00366542
TG,40.52743792,35.09318358,35.09318358,36.26579109,36.02918512,36.26579109,36.26579109,36.26579109,36.02918512,36.26579109,36.02918512,36.26579109,34.71034129,35.09318358,35.09318358,35.09318358,35.09318358,35.09318358,34.71034129,34.71034129,34.71034129,34.71034129,34.71034129,34.71034129,34.71034129,34.33705938,34.71034129,34.33705938,34.71034129,34.71034129
ZyE,29.16155822,29.54279646,29.54279646,29.54279646,29.54279646,29.54279646,29.92826724,29.92826724,29.16155822,29.54279646,28.62290016,29.16155822,26.43168088,27.53192203,25.55897136,26.75865083,25.55897136,25.00498201,25.55897136,26.16110907,25.88045086,25.88045086,26.16110907,25.88045086,27.8897105,27.3813095,27.8897105,27.8897105,27.53192203,27.21131794
dMePE,27.3813095,29.92826724,30.5662343,30.5662343,30.5662343,30.5662343,30.5662343,30.5662343,29.92826724,30.5662343,30.5662343,29.92826724,31.04033746,31.04033746,31.24199917,31.04033746,31.24199917,31.04033746,31.62156285,31.62156285,31.62156285,31.97460864,31.24199917,31.62156285,31.62156285,31.62156285,31.62156285,31.62156285,31.24199917,31.24199917
